internalTaxonId,description,conservationActionsDescription,habitatDescription,useTradeDescription,threatsDescription,populationDescription
112691545,"Listed as Endangered because its extent of occurrence (EOO) is 22 km<sup>2</sup>, it occurs in five or fewer threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place<br/></em></strong>This species is not present in any protected areas (Garg&#160;<em>et al</em>. 2017).&#160;<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required, along with the education of tourists to reduce littering behaviours.<br/><br/><strong><em>Research Needed</em></strong><br/>Further research is required on its distribution, natural history, population status and habitat requirements (Garg&#160;<em>et al.&#160;</em>2017), as well as the effects of <em>Bd</em> and climate change. Population monitoring is also recommended.","This species is known from disturbed forest patch adjacent to tea and cardamom plantations, hidden under leaf litter and vegetation on muddy ground close to a shallow rivulet (Garg&#160;<em style=""color: rgb(14, 16, 26); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; margin-top: 0pt; margin-bottom: 0pt;"">et al.</em>&#160;2017, R. Suyesh&#160;pers. comm. September 2020). It is more abundant in areas outside plantations (R. Suyesh&#160;pers. comm. September 2020). It can tolerate a degree of habitat disturbance, however it requires shaded areas to maintain the moisture levels and will not tolerate severe habitat loss and disturbance&#160;(India Red List Assessment Workshop. September 2020).",There are no records of this species being utilized.,"A current threat identified for this taxon is habitat disturbance, modification, and fragmentation due to human work activities inside the plantation area where it occurs (Garg&#160;<em>et al</em>. 2017). The clearance of leaf litter would be detrimental to the species, and this is being done to clear walkways for people to work within these areas (R. Suyesh&#160;pers. comm. September 2020). Pesticide use is considered to be a major threat, especially in cardamom plantations (Rajkumar K.P. and R. Suyesh&#160;pers. comm. September 2020). Tourism development is also a threat in Munnar causing habitat conversion and loss, littering and species disturbance especially as this species utilises water ways apart from streams (R. Suyesh&#160;and Rajkumar K.P. pers. comm. September 2020). Climate change is a potential future threat, and may cause habitat shifting which may result in the loss of subpopulations in higher elevations with no available habitat for it to migrate to (India Red List Assessment Workshop September 2020).<br/><br/><em>Batrachochytrium dendrobatidis</em> (<em>Bd</em>) has been confirmed in the genus, with morbidity observed but no mortalities to date (Mutnale <em>et al. </em>2018), but further studies are required to investigate the full effects on this species (India Red List Assessment Workshop September 2020).","This taxon is considered fairly common and abundant (Garg <em>et al</em>. 2017, R. Suyesh&#160;pers. comm. September 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
253632034,"<em>Syzygium stocksii</em>&#160;is a large tree that grows up to 15 m high in the hillocks and low land swamps of evergreen and semi evergreen forest in between 50–800 m elevation. The species has an EOO of 93,153 km<sup>2</sup> and an AOO of 124 km<sup>2</sup>. There has been a 30% population reduction in the past three generations (60 years) due to large scale conversion of hillocks and swamps for monoculture plantations, industries and urbanisation. However, the current population trend is increasing with 25,000 mature individuals from 33 collection localities with 27 subpopulations. The popularly known&#160;<em>Syzygium travancoricum&#160;</em>was merged<em>&#160;</em>under&#160;<em>Syzygium stocksii, </em>which had undergone many detailed studies contributing to new distribution and population records. There has been a successful reintroduction programme for the taxon and <em>ex situ</em> conservation is in place. However, because of the past decline this species is assessed here as Vulnerable (VU).","The species is reported from three protected areas such as Agasthyamalai Biosphere reserve, Nilgiri Biosphere reserve and Shenduruny Wild&#160;Life Sanctuary.&#160;<em>Ex situ</em> conservation is in place at KFRI, Thrissur and JNTBGRI, Thiruvananthapuram, Kerala. Saplings were reintroduced in Kalasamala as an initial step towards its restoration and also in Varavoor and&#160;Asurankundu dam, Thrissur, Kerala. More than 1,000 individuals have been raised to be restored to different sites of sacred groves (Sreekumar <em>et al.</em> 2020). No species specific action plan has been prepared.&#160;<em>In vitro</em> propagation has also been reported (Anand&#160;<em>et al.</em> 1999).","<em>Syzygium stocksii</em> is a large tree that grows up to 15 m high in the evergreen and semi evergreen forest in between 50–800 m elevation usually on hillocks or swampy vegetation in the low land. The quality of the habitat is decreasing due to intense soil erosion, deposition of silt and waste as a result of anthropogenic interventions. Normal fruiting and seed germination patterns have been observed (Sreekumar <em>et al.</em> 2020) but in some subpopulations the germinated seedlings showed difficulty in their survival. The species is associated with&#160;<em>Terminalia paniculata, Hopea parviflora, Calamus thwaitesii, Lagerstroemia floribunda, Hydnocarpus macrocarpus,&#160;</em><em>Aporosa lindleyana </em>= (<em>Aporosa cardiosperma</em>; POWO 2023)<em>, Syzygium cumini, Ficus hispida, Litsea coriacea </em>and<em> Sterculia guttata.</em>","The species is known for its medicinal value since it is used to cure diabetes and arthritis problems and also for its astringent, bactericidal, antifungal and neuropsychopharmacological properties.","<em>Syzygium stocksii </em>occupies in the hillocks and low land swamps of evergreen and semi evergreen forest which is under pressure due to the deposition of silt and waste as a result of anthropogenic interventions. Intense soil erosion, habitat fragmentation and changes in land use patterns due to monoculture plantations, industries and urbanisation were considered as the major threats to their population and regeneration.","<em>Syzygium stocksii</em>&#160;presently has more than 25,000 mature individuals from 33 collection localities with 27 subpopulations. Recent studies indicated an increase in the number of juvenile and mature individuals. However, there has been 30% population reduction in the past three generations (60 years) due to large scale conversion of hillocks and swamps for monoculture plantations, industries and urbanisation. The largest subpopulations are at Kulathupuzha, Kalasamala and Nilgiris with more than 10,000 mature individuals. The current population trend is increasing&#160;(Udhayavani <em>et al</em>. 2013, Sreekumar e<em>t al.</em> 2020)."
31219,"<em>Myristica malabarica</em> is a 25 m tall evergreen tree species of the Western Ghats mountains of southwest India and also in Sri Lanka. The species has an area of occupancy (AOO) of 488 km<sup>2</sup> and extent of occurrence (EOO) of 291,237 km<sup>2</sup>. The species has an estimated population of 8,800 mature individuals restricted to 100-1,000 m elevations. There has been a continuing decline in the quality of habitat and the major threat was the large-scale conversion of evergreen and swamp forests for dams and reservoirs, timber and industrial plantations, agriculture and infrastructure development. The species along with other members of the family including <em>Myristica beddomei, Gymnacranthera canarica </em>and<em> Knema attenuata&#160;</em>form important components of the threatened <em>Myristica</em> swamp forests. There had been substantial reduction in the population due to reclamation of the habitat. This has led to a suspected population decline of at least 30% over the last three generations. Awareness, species recovery plans and ecological restoration are required. Hence the species is assessed as Vulnerable (VU).",Habitat and species recovery and management are essential for the species but some of the forest management plans for the <em>Myristica</em> swamp forest mention this species. More research and resources are needed to protect this species in the wild. The species is known from <em>ex situ </em>collections and protected areas (BGCI 2023).,"<em>Myristica malabarica</em>&#160;is a medium sized mid canopy evergreen tree (up to 25 m high) confined to 100-1,000 m asl. It is found in evergreen and <em>Myristica</em> swamp forests of the Western Ghats and Sri Lanka Biodiversity hotspot. The suitable habitat are wet areas within the tropical evergreen forests. The species along with other members of the family including <em>Myristica beddomei, Gymnacranthera canarica </em>and<em> Knema attenuata </em>form the important component of the threatened&#160;<em>Myristica</em>&#160;swamp forests. It serves as an important part of the diet of hornbills and ungulates of the rainforests.",The species is known as ‘Wild nutmeg’ and used in traditional medicines.,"The wet habitats of the forest&#160;are threatened chiefly due to large-scale conversion for timber and softwood plantations, dams and reservoirs, infrastructure development and agriculture.","It is an important component of the tropical rainforests and <em>Myristica</em> swamp forests of the Western Ghats that it inhabits between 100-1,000 m elevations. The population estimated for the species is ~8,800 mature individuals. There had been substantial reduction in the population due to reclamation of the habitat. This has led to a suspected population decline of at least 30% over the last three generations."
36652,"<em>Aglaia malabarica</em> is endemic to the Western Ghats in India, confined to the state of Kerala. This is a tree species about 25 m high, found to be growing in medium elevation evergreen forests with a dense growth of upper stratum trees. The species is known from three locations. The species is expected to have less than 1,000 mature individuals. The species is expected to have undergone habitat fragmentation over the past. This species has an extent of occurrence (EOO) of 2,239.172 km<sup>2</sup> and a relatively small area of occupancy (AOO of 24 km<sup>2</sup>). The AOO is based on collections only, and this species is likely to be under collected. However, given our present knowledge about this species, the AOO is unlikely to exceed 500 km<sup>2</sup>. Given that the species has a continuing decline in the population size due to its habitat specificity, threats to the habitats and poor regeneration, the species is assessed as Endangered.",This species occurs in protected areas in the Western Ghats. This species is kept in more than one <em>ex situ</em> collection. A detailed study needs to be undertaken to understand the population trend.,This is a tree species about 25 m high. The species occurs in evergreen forests. Flowering and fruiting of this species is observed from November to July.,"Other than timber extraction, no uses have been recorded. Allied species in the genus are used in traditional medicine and dried flowers for producing perfumes.","Habitat loss, recalcitrant seeds, seed infestation, and poor regeneration threaten this species. Timber extraction by local people also poses a threat to this species.","The number of mature individuals in the population is expected to be below 1,000 in the wild. There is a reduction in the population size due to a decline in area of occupancy and quality of habitat in the past, which is expected to continue. The regeneration rate of the species is relatively low."
33642,"This<em>&#160;</em>is a medium-sized canopy tree of the high elevation shola forest of the southern Western Ghats chiefly restricted to Munnar and Nilgiri landscapes. The population is less than 4,000 within 12 subpopulations, of which five are within protected areas. The area of occupancy is 104 km<sup>2</sup> and extent of occurrence is 7,211&#160;km<sup>2</sup>. It is estimated that 66% of the habitat is converted for tea and wattle plantations. The population is suspected to have decline by a similar extent over three generations (50<span class=""ui-provider a b c d e f g h i j k l m n o p q r s t u v w x y z ab ac ae af ag ah ai aj ak"" dir=""ltr"">–70%). The fragmented nature of habitat, fire incidence and commercial plantation activities are the ongoing threats. Hence, the species assessed as Endangered (EN).",Five out of the 12 subpopulations are within protected areas including a stable population seen in the Anamudi Shola national park. A niche specific conservation and restoration plan has been prepared (Devika and Bachan 2023). There are no site specific actions and restoration in place.,"<em>Elaeocarpus recurvatus</em> is an evergreen tree which grows up to 15 m high in the montane shola regions in between an elevation of 1,700–2,550 m. The species is a canopy tree of the stunted montane evergreen shola forest formation associated with&#160;<em>Rhododendron arboreum</em>, <em>Syzygium sahyadricum</em>,&#160;<em>Syzygium densiflorum </em>and<em> Litsea spp.&#160;</em>Flowering and fruiting occurs during February–May.",There is no use and trade information for this species.,"<p>The habitat of the species is converted for commercial tea and wattle plantations, causing a 66% reduction in the habitat and 50–70% reduction in population. Five out of the 12 subpopulations are within protected areas. There is likely to be a stable population in the Anamudi shola national park, whereas fragmentation and fire incidents are a continuing threat to the species within other protected areas. Commercial tea, wattle and eucalyptus plantation activity are ongoing in most of the habitat.</p>","The population of <em>Elaeocarpus recurvatus</em> is restricted to 12 subpopulations within very high elevation shola forests of Munnar and Nilgiri landscape. The estimated population size is less than 4,000 mature individuals, with 500 in the largest subpopulation, with an abundance of 5 per ha. The habitat has been fragmented and 66% converted for tea and wattle plantation in the past. It is suspected that the population has declined by a similar extent (50–70%). There is likely to be a stable population within the Anamudi Shola national park, whereas burning of the grass lands is affecting the extent of shola and population of the species within other protected areas (Devika and Bachan 2023)."
117894243,"<p><em>Canarium strictum</em> is a large, 35 m tall, evergreen, canopy tree of the tropical rainforest biome in India, China, Myanmar, Thailand and Bhutan.&#160;This tree grows at elevations of 300-1,600 m. The species has an&#160;extent of occurrence (EOO) of&#160;3,168,613&#160;km<sup>2</sup>, but this could be an underestimate as it is based on an incomplete map. There are many subpopulations. It has a density of 2.7 -13.8 per ha estimated for the species. The species has ecological importance for its characteristic niche in the canopy tree associations and has relationships with hornbills and ungulates for dispersal.&#160;There is a continuing decline in the number of mature individuals due to commercial extraction of its resin leading to die back of mature trees. The species is further threatened by habitat loss due to agro industry plantations, logging, and dams and reservoirs. Due to ongoing habitat loss and resin extraction the total reduction in population is suspected to be at least 50% reduction over the last three generations. Few conservation and monitoring programmes are in place. Hence, the species is assessed as Endangered (EN).&#160;</p>",The tree is impacted by traditional tapping of its resins. There are some awareness and community-based monitoring programmes in place (Amitha Bachan and Anitha 2013). The species has been nationally assessed as threatened in India and possibly threatened in China (BGCI 2023).,"<em>Canarium strictum</em> is a large and dominant canopy tree of the tropical rainforest biome. This species is seen in the primary tropical rainforests within an elevation of 300-1,600 m. It is associated with other tropical rainforest canopy trees such as&#160;<em>Palaquium ellipticum, Mesua ferrea, Vateria indica</em> etc. The species is seen in good quality primary rainforests but extracted traditionally for its resin. The abundance is 2.7 -13.8 per ha&#160;in its available locations and the sapling density is 0.03 per ha. The seeds are dispersed by hornbills and smaller mammals (Amitha Bachan and Anitha 2013).","<em>Canarium strictum</em>&#160;is one of the most exploited evergreen tree species for its resin. The resins are traditionally tapped for commercial value.&#160;The resin is extracted traditionally by indigenous communities for fumigation, and has commercial value as Minor Forest Produce. It is also used in traditional medicines.","Apart from the habitat loss due to agro industry plantations, logging, and dams and reservoirs, the major threat is tapping this tree for resin. Seventy percent of the mature individuals are tapped for resins and continuous and immature tapping has led to the death of 27% percent mature trees (Amitha Bachan and Anitha 2013).","The population estimated for the species is at least 35,360 mature individuals with an abundance of 2.7 -13.8 per ha. The species is one among the most impacted by resin extraction for commercial purposes. Seventy percent of the mature individuals are tapped for resins and continuous and immature tapping has led to the death of 27% percent mature trees (Amitha Bachan and Anitha 2013).&#160;Due to ongoing habitat loss and resin extraction the total reduction in population is suspected to be at least 50% over the last three generations (210 years)."
31199,"<em>Syzygium occidentale</em> is an obligate riparian rheophytic small tree species endemic to the southern Western Ghats in India. Its distribution is highly restricted to low-medium elevation evergreen riparian forest between 60–750 m altitude. Studies indicate a 57% population loss due to climate change induced floods in 2018 and 2019 coupled with dam operations. There has been a 20% reduction in the extent of occurrence (EOO) and a 57% reduction in the area of occupancy (AOO). The number of locations reduced from 14 to five. This indicates the endangerment of the species and the habitat with threats continuing (Amitha Bachan and Shajan 2019, Amitha Bachan and Devika 2020, 2022). The estimated EOO is 8,154 km<sup>2</sup> and the AOO is 24 km<sup>2</sup>. Hence, the species is assessed here as Endangered considering the narrow range and vulnerability of the habitat along with population reduction.",Specific conservation actions are not in-place. Policies on the requirement of control over dam water operations for the conservation of habitat is in-place (Amitha Bachan and Shajan 2019) and an eco-restoration plan for the riparian habitat has been incorporated into the management plans of the Forest Department and Kerala State Biodiversity Board (Amitha Bachan <em>et al</em>. 2019).,<p><em>Syzygium occidentale</em> is an&#160;obligate rheophytic evergreen riparian large shrub or small tree species endemic to low-medium elevation river stretches&#160;in the southern Western Ghats.</p>,,"Habitat loss due to submergence and flash floods caused by dam operations are the major threats to the species. The climate change induced heavy rainfall and flood coupled with reservoir operations have destroyed 57% of the known population (Amitha Bachan 2010, Amitha Bachan and Shajan 2019, Amitha Bachan and Devika 2020, 2022).","<em>Syzygium occidentale </em>was&#160;reported from 14 locations of low to medium elevation river stretches in six ecoregions of the southern Western Ghats in South India. Nine among the 14 locations were washed out due to floods in 2018 and 2019 (Amitha Bachan 2010, Amitha Bachan and Shajan 2019). The reservoir operations and submergence are the important threats to the species and its habitats (Amitha Bachan and Devika 2020). The population reduction is 57% based on an area of occupancy (AOO) reduction and the reduction in the extent of occurrence (EOO) is 20%."
38821,"<em>Syzygium parameswaranii&#160;</em>is endemic to<em>&#160;</em>Megamalai, Periyar and Agasthyamalai landscapes of the southern Western Ghats in India. It is seen in montane shola evergreen forest undergrowth as a small tree up to 6 m high, seen within a narrow altitude range between 1,200–1,800 m. The species is very restricted within four locations, even though it has multiple collection records. The estimated area of occupancy (AOO) is 44 km<sup>2</sup>&#160;and the extent of occurrence (EOO) is 659 km<sup>2</sup>. There are four locations. The habitat had been converted for tea plantations and a dam, so it is experiencing continuing decline. The remaining habitat is under the three important protected areas within Kerala and Tamil Nadu region. A 75–93% reduction in the reproduction due to insect infestation has been reported. The estimated number of mature individuals is less than 250 with 100 in its largest subpopulation at Megamalai. Hence, the species is assessed here as Endangered.","The species lacks site specific conservation and management plans, population information and monitoring even though distributed in three important protected areas including the Agasthyamalai biosphere reserve. Mature individuals have been located in all the four locations and studies on reproduction reduction due to insect infection have been reported.","<em>Syzygium parameswaranii</em> is restricted to tropical montane evergreen forest of the Agasthyamalai, Periyar and Megamalai landscape in between 1,200–1,800 m elevation. It is a small tree up to 6 m high in the montane shola forest patches. The associated species are&#160;<em>Elaeocarpus munroi, Maesa indica, Nothapodytes nimmoniana, Syzygium </em>spp. and<em>&#160;Litsea </em>spp<em>.</em>",No use and trade information is available.,"S<em>yzygium parameswaranii</em>&#160;is restricted to a narrow range 1,200–1,800 m in four locations of three landscapes in the southern Western Ghats. The area is fragmented with tea plantations and dams. Infestation of<em>&#160;</em>an insect <em>Anselmella kerrichi</em>&#160;is reported to reduce the reproduction rate by&#160;75–93% (Athira and Raju 2020).","<em>Syzygium parameswaranii</em> reported from four locations in three adjacent landscapes in the Southern Western Ghats within a narrow range of altitude between 1,200–1,800 m. It has 31 collection records within the very restricted distribution range and the estimated number of mature individuals is less than 250 with 100 in its largest subpopulation at Megamalai. The current population trend is unknown, but the area had been converted for tea plantations and dams. There is a 75–95% reduction in reproduction rate due to infestation of <em>Anselmella kerrichi </em>on flowers and fruits (Athira and Ramasubbu 2020). It is not known exactly to what extent this will affect population numbers in the future."
31170,"<em>Vateria macrocarpa</em> is endemic to India, north of the Palghat gap in the Western Ghats across two southern states, Kerala and Tamil Nadu. This is a tree species about 30 m high. It grows in the evergreen forests and is also found in plantations. The species is known from one location. This species has an extent of occurrence (EOO) of 48 km<sup>2</sup> (actual EOO of 39.603 km<sup>2</sup>, corrected to equal the area of occupancy (AOO)) and an AOO of 48 km<sup>2</sup>. Given our present knowledge about this species, the AOO is unlikely to exceed 100 km<sup>2</sup>. A reduction in the population size by 30% is expected over a period of 150 years, considering the conversion of areas within its natural range into plantations. The tree was also harvested in the past from the wild for its timber. Selective felling is still reported. These are expected to contribute to a decline in the number of mature individuals.&#160;The two subpopulations are relatively isolated. The species is assessed as Critically Endangered.","Some subpopulations are recorded in forest reserves.&#160;This species is also kept in <em>ex situ</em> collections. Research actions are needed to understand the threats faced by the species, habitat trends and species ecology to develop proper species recovery plans.",This is a tree species about 30 m high. The species occurs in evergreen forests and man-modified sylvan ecosystems mostly of coffee and cardamom plantations which were earlier part of the evergreen forest.,"The tree was previously harvested from the wild for its timber. Selective felling is still reported from private land. The timber is useful for making plywood, packing cases, boxes, etc. The wood is durable. The species yields white dammar, used as incense.",The tree was harvested in the past from the wild for its timber. A large evergreen forest area within the natural range of this species has been converted into plantations. Selective felling of this species is still reported.,"Based on a survey done over the period 2014–2020 (Sanil pers. obs.), the number of mature individuals in the population is expected to be in the range of 40,000–50,000, with two subpopulations. A reduction in the population size by 30% is expected over a period of 150 years, considering the conversion of areas within its natural range into plantations. From the current distribution range of the species, it appears that it existed in the past as a single subpopulation that appears to be distinct due to habitat modifications. The tree was also harvested in the past from the wild for its timber. Selective felling is still reported."
119048736,"<em>Viburnum hebanthum</em> is a small tree endemic to Tamil Nadu state of India. The species' distribution is limited and no information is available on its population size and trend. Further field surveys and information are advised. Current data and herbarium records found three locations with an extent of occurrence of 319 km<sup>2</sup> and area of occupancy of 12 km<sup>2</sup>. The species is facing threats to its habitat from invasion of <em>Lantana camara</em>. The species is not reported in any<em> ex situ </em>collections. With present information, the species is assessed as Endangered.","The species is found in one protected area managed by the Forest Departments of the states of Tamil Nadu, Kerala and Karnataka. Conservation activities on this species have not been done in the past. The species is also not reported from any<em> ex situ </em>collection globally (BGCI 2023).","<em>Viburnum hebanthum</em> is a small tree growing up to 6 m in height, found in evergreen forest of the Western Ghats of India.",Use and trade information is not available for the species.,Invasion of <em>Lantana camara</em> is observed in the natural habitat of the species. This causes declines in available habitat.<br/><em></em>,The species' distribution is limited and no information is available on its population size and trend.
119243084,"Listed as Endangered because its extent of occurrence (EOO) is 501 km<sup>2</sup>, it occurs in&#160;two to four threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Wayanad Wildlife Sanctuary, with less than 50% of the population occurring within this area (S. Das pers. comm. November 2020). The type locality is within Southern Wayanad Forest Division, where the ecotourism resort affords the habitat some level of protection.<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required.<br/><br/><strong><em>Research Needed</em></strong><strong><em><br/></em></strong>Research on distribution, population and the species-specific effects of <em>Bd</em> and climate change<em>&#160;</em>are required. Population monitoring is also recommended (India Red List Assessment Workshop October 2020).","This species inhabits disturbed forest areas, where it was found on wet rocks near streams and under the leaf-litter and vegetation adjacent to a seasonal pond (Garg and Biju 2016). It has been observed calling from rocks covered with leaf-litter beside the streams (N. Modak pers. comm. October 2020). The type locality is the backyard of an ecotourism resort in a forest setting. It is on the border of a forest and the species most likely occurs in the neighbouring primary forest. It is tolerant of some forest disturbance, but it does require leaf litter and good quality stream habitat. It breeds by laying eggs on the rocks where the tadpoles remain and complete their development.&#160;<span id=""docs-internal-guid-3c25758c-7fff-4f78-5142-e3af5daf05b4"">This species has semi-aquatic tadpoles that develop outside of waterbodies on wet rocks and mosses, and have long tails and hindlimbs which develop earlier compared to other anuran species (N. Modak and K.V. Gururaja pers. comm. October 2020).",There are no records of this species being utilized.,"Pesticide use could degrade this species' habitat in areas near tea plantations.&#160;<span id=""docs-internal-guid-bcde8ec7-7fff-1bf6-e626-1f222575ab03"">The development of structures to prevent landslides are expected to effect the rocky microhabitats of this species (N. Modak and K. Krutha pers. comm. October 2020).&#160;<span id=""docs-internal-guid-3da56259-7fff-86b0-88c4-31a35b2ddf9d"">Climate change is a potential future threat which may result in droughts, causing the drying of this species' habitat (India Red List Assessment Workshop October 2020).<br/><span><span><em><br/></em><span><span><em>Batrachochytrium dendrobatidis</em> (<em>Bd</em>) has been found in other species of the genus, so chytridiomycosis may be a potential threat for this species but further research is required (India Red List Assessment Workshop October 2020).</span></span></span>","It is considered a very common species at the type locality, particularly near streams (N. Modak pers. comm. October 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
119243159,"Listed as Vulnerable because its extent of occurrence (EOO) is 5,827 km<sup>2</sup>, it occurs in 10 threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species occurs in Someshwara Wildlife Sanctuary, with less than 50% of its population found within this area (N. Modak and Seshadri K.S.&#160;pers. comm. September 2020). It may be found in Ranipuram National Park, but further studies are need to confirm this (N. Modak pers. comm. September 2020).<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required.<br/><br/><strong><em>Research Needed</em></strong><br/>Further research on its distribution, population, and the species-specific effects of&#160;<em>Bd</em>&#160;and climate change is necessary. Population monitoring is also recommended (India Red List Assessment Workshop October 2020).","This species inhabits primary and secondary forest patches, where it has been recorded on surfaces of moss-covered rocks and moist leaf-litter far from water bodies (Garg and Biju 2016, N. Modak pers. comm. September 2020). It has also been found near human habitations and in arecanut plantations (N. Modak and Seshadri K.S. pers. comm. September 2020). It can tolerate a degree of habitat disturbance, however it requires moist substrate (soil and leaf litter) and is unlikely to tolerate the complete opening up of its habitat (N. Modak and Seshadri K.S. pers. comm. September 2020). This species has semi-aquatic tadpoles that develop outside of waterbodies on wet rocks and mosses, and have long tails and hindlimbs which develop earlier compared to other anuran species (N. Modak and Gururaja K.V. pers. comm. September 2020). The species shows inguinal amplexus with mean egg count 200.3 (range 94 - 306, N = 6), and males of the species were observed in egg clutch attendance&#160;(Mudke and Tapley 2021). Its call is described by&#160;Mudke and Tapley (2021).&#160;&#160;<br/><br/>It is polymorphic; with three different dorsal colourations and patterns recorded among 15 males (Mudke and Tapley 2021).",There are no records of this species being utilized.,"Pesticide use is a major threat to this species (N. Modak and Seshadri K.S.&#160;pers. comm. September 2020). Road widening and the increase of vehicle traffic could increase road mortalities, and this is considered to be an intermediate threat (Seshadri K.S.&#160;pers. comm. September 2020). The removal of leaf-litter by farmers to mulch for agricultural use is considered to be a minor threat (Seshadri K.S.&#160;pers. comm. September 2020), and the removal of rocks may be a threat across the species range causing the destruction of breeding sites and interfering with its breeding activity (N. Modak and Seshadri K.S.&#160;pers. comm. September 2020). Climate change is a potential future threat which may result in the drying of its habitat, which will be detrimental to this species as it is reliant on soil moisture (N. Modak pers. comm. October 2020).&#160;<br/><br/><em>Batrachochytrium dendrobatidis </em>(<em>Bd</em>) has been found in other species of the genus, so chytridiomycosis may be a potential threat for this species but further research is required (India Red List Assessment Workshop September 2020).","It is a very common species (N. Modak and K.S. Seshadri pers. comm. September 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
119243173,"Listed as Vulnerable, as this species has an extent of occurrence (EOO) of&#160;7,876&#160;km<sup>2</sup>, it occurs in 10 threat-defined locations, and there is continuing decline in the extent and quality of its habitat.","<strong><em>Conservation Actions In-Place</em></strong><br/>This species is present in the protected areas of Peechi-Vazhani Wildlife Sanctuary, Periyar Tiger Reserve, Idukki Wildlife Sanctuary, Chimmony Wildlife Sanctuary and Neyyar Wildlife Sanctuary, with at least 50% of the population occurring within these areas (S. Das pers. comm. November 2020).<br/><br/><strong><em>Conservation Needed</em></strong><br/>Improved habitat protection is required.<br/><br/><strong><em>Research Needed</em></strong><br/>Research on distribution, population status and ecology and life history and the species-specific effects of&#160;<em>Bd</em>&#160;are required. Population monitoring is also recommended.","This species inhabits undisturbed lowland and premontane moist forests and disturbed secondary forest patches (Garg and Biju 2016). Individuals have been observed on rock surfaces close to hill streams (Garg and Biju 2016), within stagnant water bodies (Afthab <em>et al.</em> 2018), and within arecanut plantations (N. Modak pers. comm. October 2020). It requires moist soil and leaf-litter as well as canopy cover, so can only tolerate disturbance of its habitat if these are retained&#160;(S. Das pers. comm. October 2020). It breeds on rocks where the eggs are laid and the tadpoles complete their development. It has semi-aquatic tadpoles that develop outside of waterbodies on wet rocks and mosses, and have long tails and hindlimbs which develop earlier compared to other anuran species (N. Modak and Gururaja K.V.&#160;pers. comm. October 2020).",There are no records of this species being utilized.,"<span id=""docs-internal-guid-29f6ddbb-7fff-9481-dd8d-1cc2e696176f"">A major threat to the species is the widespread application of shotcrete to prevent landslides along roadsides as this practice destroys the rock crevices on which this species depends for breeding (N. Modak and K. Krutha pers. comm. October 2020). Road mortalities are considered to be a minor threat (S. Das pers. comm. November 2020).&#160;Pesticides or fertilisers could be a future threat as agricultural practices intensify.&#160;Climate change is a potential future threat with any changes in monsoon activity expected to affect the breeding behaviour of this species (India Red List Assessment Workshop October 2020).<br/><br/><span id=""docs-internal-guid-7892ac6c-7fff-1a8e-e45e-05d841f2441a""><em>Batrachochytrium dendrobatidis</em> (<em>Bd</em>) has been found in other species of the genus, so chytridiomycosis may be a potential threat to this species but further research is required (India Red List Assessment Workshop October 2020).</span>","It is a common within its range (N. Modak and S. Das pers. comm. October 2020). Due to ongoing decline in the extent and quality of its habitat, the population is inferred to be decreasing."
129335824,"This tree species is known from about three scattered localities in Bangladesh and in the Barak Valley area in Assam, India. It grows in most forests, and these are under threat of deforestation and habitat destruction. This species has a small extent of occurrence (EOO of 1,858 km<sup>2</sup>) and a small area of occupancy (AOO of 12 km<sup>2</sup>). The AOO is based on collections only, and this species is likely to be under collected. However, given our present knowledge about this species, the AOO is unlikely to exceed 500 km<sup>2</sup>. The extent of occurrence may also be larger, but the threat of habitat loss is such that the species will still be threatened. Given that it is only known from three locations (none from a protected area), that it has a small AOO, and the threats to its habitat, it is considered as Endangered.",<p>This species is not known to occur in any protected areas. This species is not kept in any&#160;<em>ex situ&#160;</em>collection (BGCI 2022).</p>,This species is a tree of unknown height and grows in wet tropical forests.,<p>There is no information on use or trade of this species.</p>,<p>The major threats to this species are deforestation and habitat destruction through conversion to agriculture and plantations.</p>,<p>No information is known about the population size and trends of this species.</p>
