internalTaxonId,actionCode,actionName
15951,2.3,Habitat & natural process restoration
15951,3.2,Species recovery
15951,3.3.1,Reintroduction
15951,3.4.1,Captive breeding/artificial propagation
15951,1.1,Site/area protection
15951,5.4.1,International level
15951,5.4.2,National level
15951,4.2,Training
15951,4.3,Awareness & communications
15951,5.1.2,National level
15951,5.4.3,Sub-national level
15951,2.1,Site/area management
15951,5.1.3,Sub-national level
15951,1.2,Resource & habitat protection
242376417,1.1,Site/area protection
242376417,4.3,Awareness & communications
242376417,1.2,Resource & habitat protection
242376417,5.2,Policies and regulations
242376417,2.1,Site/area management
242376417,3.4.1,Captive breeding/artificial propagation
242376417,6.4,Conservation payments
