assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
54459738,48873111,Nyctibatrachus vrijeuni,4.1,Roads & railroads,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,,,,Ongoing,
56110474,48872923,Megophrys megacephala,9.1.2,Run-off,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
56110474,48872923,Megophrys megacephala,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
56110474,48872923,Megophrys megacephala,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
56110474,48872923,Megophrys megacephala,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
62020480,177756483,Phoebe bootanica,2.2.1,Small-holder plantations,"","",,,,,,,Ongoing,
62020480,177756483,Phoebe bootanica,5.3.1,Intentional use: (subsistence/small scale) [harvest],"","",,,,,,,Ongoing,
62020480,177756483,Phoebe bootanica,2.1.2,Small-holder farming,"","",,,,,,,Ongoing,
63853189,208598052,Amolops monticola,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
63853189,208598052,Amolops monticola,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
63853189,208598052,Amolops monticola,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
63853189,208598052,Amolops monticola,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
63853189,208598052,Amolops monticola,6.3,Work & other activities,1.2,Ecosystem degradation,,,,,,,Ongoing,
63853189,208598052,Amolops monticola,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,No,,,,Ongoing,
73787000,73786986,Raorchestes aureus,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73787322,73787038,Raorchestes blandus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73787322,73787038,Raorchestes blandus,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,
73787322,73787038,Raorchestes blandus,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73787384,73787369,Raorchestes echinatus,9.4,Garbage & solid waste,1.2,Ecosystem degradation,,,,Majority (50-90%),Unknown,,Ongoing,
73787384,73787369,Raorchestes echinatus,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Minority (<50%),Unknown,,Ongoing,
73787384,73787369,Raorchestes echinatus,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Majority (50-90%),Unknown,,Ongoing,
73787384,73787369,Raorchestes echinatus,11.1,Habitat shifting & alteration,1.2|2.1,Ecosystem degradation|Species mortality,,,,Whole (>90%),Unknown,,Future,
73788625,73788607,Hylarana flavescens,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,Minority (<50%),,,Ongoing,
73788625,73788607,Hylarana flavescens,4.1,Roads & railroads,2.1,Species mortality,,,,Minority (<50%),,,Ongoing,
73788625,73788607,Hylarana flavescens,7.2.9,Small dams,2.2,Species disturbance,,,,Minority (<50%),,,Ongoing,
73788625,73788607,Hylarana flavescens,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,
73788625,73788607,Hylarana flavescens,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73788770,73788764,Hylarana urbis,4.1,Roads & railroads,2.1,Species mortality,,,,,,,Ongoing,
73788770,73788764,Hylarana urbis,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73788770,73788764,Hylarana urbis,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,,,,,,,Ongoing,
73788770,73788764,Hylarana urbis,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
73788770,73788764,Hylarana urbis,7.3,Other ecosystem modifications,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73788787,73788782,Hylarana caesari,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73788787,73788782,Hylarana caesari,4.1,Roads & railroads,2.1|2.2,Species mortality|Species disturbance,,,,,,,Ongoing,
73788787,73788782,Hylarana caesari,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73788787,73788782,Hylarana caesari,7.2.9,Small dams,1.1,Ecosystem conversion,,,,,,,Ongoing,
73788787,73788782,Hylarana caesari,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73788787,73788782,Hylarana caesari,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
73788787,73788782,Hylarana caesari,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73788787,73788782,Hylarana caesari,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,,,,,,,Ongoing,
73788787,73788782,Hylarana caesari,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,,,,,,,Ongoing,
73788842,73788833,Hylarana magna,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,,,,,,,Future,
73788842,73788833,Hylarana magna,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73788842,73788833,Hylarana magna,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73788842,73788833,Hylarana magna,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,,,,,,,Ongoing,
73788842,73788833,Hylarana magna,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,,,,Unknown,
73788842,73788833,Hylarana magna,4.1,Roads & railroads,2.1,Species mortality,,,,,,,Ongoing,
73959496,73959431,Micrixalus kurichiyari,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
73959496,73959431,Micrixalus kurichiyari,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73959496,73959431,Micrixalus kurichiyari,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,
73959496,73959431,Micrixalus kurichiyari,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73959496,73959431,Micrixalus kurichiyari,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73959496,73959431,Micrixalus kurichiyari,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,,,,,,,Future,
73960024,73960020,Micrixalus niluvasei,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73960024,73960020,Micrixalus niluvasei,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,,,,,,,Ongoing,
73960024,73960020,Micrixalus niluvasei,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73960024,73960020,Micrixalus niluvasei,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73960024,73960020,Micrixalus niluvasei,11.4,Storms & flooding,1.2|2.1,Ecosystem degradation|Species mortality,,,,,,,Future,
73960024,73960020,Micrixalus niluvasei,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,,,,,,,Ongoing,
73960024,73960020,Micrixalus niluvasei,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
73960024,73960020,Micrixalus niluvasei,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
73960044,73960040,Micrixalus sairandhri,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
73960044,73960040,Micrixalus sairandhri,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73960044,73960040,Micrixalus sairandhri,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,,,,,,,Future,
73960044,73960040,Micrixalus sairandhri,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,
73960044,73960040,Micrixalus sairandhri,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73960044,73960040,Micrixalus sairandhri,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Minority (<50%),,,Ongoing,
73962058,73961281,Micrixalus spelunca,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73962058,73961281,Micrixalus spelunca,9.4,Garbage & solid waste,1.2,Ecosystem degradation,,,,,,,Ongoing,
73962058,73961281,Micrixalus spelunca,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,,,,,,,Future,
73962058,73961281,Micrixalus spelunca,1.3,Tourism & recreation areas,1.1,Ecosystem conversion,,,,,,,Ongoing,
73962058,73961281,Micrixalus spelunca,7.2.1,Abstraction of surface water (domestic use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73962058,73961281,Micrixalus spelunca,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73962058,73961281,Micrixalus spelunca,9.1.1,Sewage,1.2,Ecosystem degradation,,,,,,,Ongoing,
73962058,73961281,Micrixalus spelunca,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,
73963701,73963691,Micrixalus uttaraghati,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73963701,73963691,Micrixalus uttaraghati,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73963701,73963691,Micrixalus uttaraghati,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,
73963701,73963691,Micrixalus uttaraghati,3.2,Mining & quarrying,2.2,Species disturbance,,,,,,,Ongoing,
73963701,73963691,Micrixalus uttaraghati,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73963701,73963691,Micrixalus uttaraghati,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73963701,73963691,Micrixalus uttaraghati,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73963701,73963691,Micrixalus uttaraghati,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73963701,73963691,Micrixalus uttaraghati,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,,,,,,,Future,
73963701,73963691,Micrixalus uttaraghati,4.1,Roads & railroads,2.1|2.2,Species mortality|Species disturbance,,,,,,,Ongoing,
73964543,73964539,Micrixalus adonis,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73964543,73964539,Micrixalus adonis,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,,,,,,,Ongoing,
73964543,73964539,Micrixalus adonis,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
73964543,73964539,Micrixalus adonis,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73964543,73964539,Micrixalus adonis,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73964543,73964539,Micrixalus adonis,11.1,Habitat shifting & alteration,1.2,Ecosystem degradation,,,,,,,Future,
73964543,73964539,Micrixalus adonis,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,,,,,,,Future,
73965406,73965400,Micrixalus mallani,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73965406,73965400,Micrixalus mallani,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73965406,73965400,Micrixalus mallani,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73965406,73965400,Micrixalus mallani,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,,,,,,,Future,
73965406,73965400,Micrixalus mallani,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73965406,73965400,Micrixalus mallani,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
73965523,73965533,Micrixalus nudis,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73965523,73965533,Micrixalus nudis,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,,,,,,,Ongoing,
73965523,73965533,Micrixalus nudis,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
73967869,73967847,Micrixalus sali,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73967869,73967847,Micrixalus sali,9.4,Garbage & solid waste,1.2,Ecosystem degradation,,,,,,,Ongoing,
73967869,73967847,Micrixalus sali,11.1,Habitat shifting & alteration,1.2,Ecosystem degradation,,,,,,,Future,
73967869,73967847,Micrixalus sali,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
73967869,73967847,Micrixalus sali,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
73967869,73967847,Micrixalus sali,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73967869,73967847,Micrixalus sali,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73967908,73967876,Micrixalus frigidus,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
73967908,73967876,Micrixalus frigidus,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73967908,73967876,Micrixalus frigidus,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73967908,73967876,Micrixalus frigidus,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73967908,73967876,Micrixalus frigidus,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,
73967908,73967876,Micrixalus frigidus,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),,,Ongoing,
73967908,73967876,Micrixalus frigidus,11.4,Storms & flooding,2.3.7,Reduced reproductive success,,,,,,,Future,
73967921,73967915,Micrixalus nigraventris,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,,,,,,,Future,
73967921,73967915,Micrixalus nigraventris,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Minority (<50%),,,Ongoing,
73967921,73967915,Micrixalus nigraventris,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Minority (<50%),,,Ongoing,
73967921,73967915,Micrixalus nigraventris,9.4,Garbage & solid waste,1.2,Ecosystem degradation,,,,,,,Ongoing,
73967921,73967915,Micrixalus nigraventris,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,
73967921,73967915,Micrixalus nigraventris,7.3,Other ecosystem modifications,1.2,Ecosystem degradation,,,,,,,Ongoing,
73971896,73971314,Micrixalus specca,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
73971896,73971314,Micrixalus specca,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
73971896,73971314,Micrixalus specca,9.4,Garbage & solid waste,1.2,Ecosystem degradation,,,,,,,Ongoing,
73971896,73971314,Micrixalus specca,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Future,
73971896,73971314,Micrixalus specca,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,,,,,,,Ongoing,
73971896,73971314,Micrixalus specca,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Unknown,
73971896,73971314,Micrixalus specca,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,,,,,,,Future,
73971896,73971314,Micrixalus specca,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,,,,,,,Ongoing,
73971902,73972049,Micrixalus fuscus,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73971902,73972049,Micrixalus fuscus,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73971902,73972049,Micrixalus fuscus,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73971902,73972049,Micrixalus fuscus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
73971902,73972049,Micrixalus fuscus,4.1,Roads & railroads,1.2,Ecosystem degradation,,,,,,,Ongoing,
73971902,73972049,Micrixalus fuscus,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,,,,,,,Ongoing,
73971902,73972049,Micrixalus fuscus,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,,,,,,,Ongoing,
73971902,73972049,Micrixalus fuscus,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Unknown,Unknown,,Ongoing,
73972656,73972645,Micrixalus herrei,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
