internalTaxonId,threatCode,threatName,stressCode,stressName,severity
48874266,8.1.2,Named species,2.1,Species mortality,Unknown
48874266,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874266,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874266,4.1,Roads & railroads,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,
48874250,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,Unknown
48874250,5.3.4,Unintentional effects: (large scale) [harvest],1.2,Ecosystem degradation,Unknown
48874250,8.1.2,Named species,2.1,Species mortality,Unknown
48874225,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
48874225,7.2.1,Abstraction of surface water (domestic use),1.2,Ecosystem degradation,
48874225,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
48874225,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874225,8.1.2,Named species,2.1,Species mortality,Unknown
48874225,6.1,Recreational activities,2.2,Species disturbance,
48874225,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874189,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,
48874189,4.1,Roads & railroads,2.1,Species mortality,
48874189,8.1.2,Named species,2.1,Species mortality,Unknown
48874189,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
48874189,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
48874189,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
48874217,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
48874217,8.1.2,Named species,2.1,Species mortality,Unknown
48874217,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48874217,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
48874217,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
48873111,8.1.2,Named species,2.1,Species mortality,Unknown
48873111,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48873111,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
48873111,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
48873111,4.1,Roads & railroads,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,
48872923,9.1.2,Run-off,1.2,Ecosystem degradation,Unknown
48872923,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
48872923,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
48872923,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
177756483,2.2.1,Small-holder plantations,,,
177756483,5.3.1,Intentional use: (subsistence/small scale) [harvest],,,
177756483,2.1.2,Small-holder farming,,,
208598052,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
208598052,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
208598052,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
208598052,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,
208598052,6.3,Work & other activities,1.2,Ecosystem degradation,
208598052,5.1.1,Intentional use (species is the target),2.1,Species mortality,
73786986,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73787038,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73787038,8.1.2,Named species,2.1,Species mortality,Unknown
73787038,2.2.1,Small-holder plantations,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73787369,9.4,Garbage & solid waste,1.2,Ecosystem degradation,Unknown
73787369,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
73787369,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,Unknown
73787369,11.1,Habitat shifting & alteration,1.2|2.1,Ecosystem degradation|Species mortality,Unknown
73788607,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73788607,4.1,Roads & railroads,2.1,Species mortality,
73788607,7.2.9,Small dams,2.2,Species disturbance,
73788607,8.1.2,Named species,2.1,Species mortality,Unknown
73788607,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73788764,4.1,Roads & railroads,2.1,Species mortality,
73788764,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73788764,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
73788764,8.1.2,Named species,2.1,Species mortality,Unknown
73788764,7.3,Other ecosystem modifications,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73788782,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73788782,4.1,Roads & railroads,2.1|2.2,Species mortality|Species disturbance,
73788782,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73788782,7.2.9,Small dams,1.1,Ecosystem conversion,
73788782,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73788782,8.1.2,Named species,2.1,Species mortality,Unknown
73788782,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73788782,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
73788782,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,
73788833,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,
73788833,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73788833,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73788833,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
73788833,8.1.2,Named species,2.1,Species mortality,
73788833,4.1,Roads & railroads,2.1,Species mortality,
73959431,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,
73959431,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73959431,8.1.2,Named species,2.1,Species mortality,Unknown
73959431,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73959431,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73959431,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
73960020,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73960020,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
73960020,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73960020,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73960020,11.4,Storms & flooding,1.2|2.1,Ecosystem degradation|Species mortality,
73960020,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,
73960020,8.1.2,Named species,2.1,Species mortality,Unknown
73960020,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,
73960040,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,
73960040,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73960040,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
73960040,8.1.2,Named species,2.1,Species mortality,Unknown
73960040,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73960040,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73961281,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73961281,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
73961281,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
73961281,1.3,Tourism & recreation areas,1.1,Ecosystem conversion,
73961281,7.2.1,Abstraction of surface water (domestic use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73961281,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73961281,9.1.1,Sewage,1.2,Ecosystem degradation,
73961281,8.1.2,Named species,2.1,Species mortality,Unknown
73963691,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73963691,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73963691,8.1.2,Named species,2.1,Species mortality,Unknown
73963691,3.2,Mining & quarrying,2.2,Species disturbance,
73963691,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73963691,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73963691,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73963691,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73963691,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
73963691,4.1,Roads & railroads,2.1|2.2,Species mortality|Species disturbance,
73964539,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73964539,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
73964539,8.1.2,Named species,2.1,Species mortality,Unknown
73964539,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73964539,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73964539,11.1,Habitat shifting & alteration,1.2,Ecosystem degradation,
73964539,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,
73965400,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73965400,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73965400,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73965400,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,
73965400,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73965400,8.1.2,Named species,2.1,Species mortality,Unknown
73965533,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73965533,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
73965533,8.1.2,Named species,2.1,Species mortality,Unknown
73967847,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73967847,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
73967847,11.1,Habitat shifting & alteration,1.2,Ecosystem degradation,
73967847,8.1.2,Named species,2.1,Species mortality,Unknown
73967847,6.1,Recreational activities,2.2,Species disturbance,
73967847,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73967847,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73967876,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,
73967876,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73967876,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73967876,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73967876,8.1.2,Named species,2.1,Species mortality,Unknown
73967876,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
73967876,11.4,Storms & flooding,2.3.7,Reduced reproductive success,
73967915,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
73967915,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73967915,7.2.9,Small dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73967915,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
73967915,8.1.2,Named species,2.1,Species mortality,Unknown
73967915,7.3,Other ecosystem modifications,1.2,Ecosystem degradation,
73971314,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,
73971314,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73971314,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
73971314,11.4,Storms & flooding,1.2,Ecosystem degradation,
73971314,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
73971314,8.1.2,Named species,2.1,Species mortality,Unknown
73971314,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,
73971314,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,
73972049,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73972049,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73972049,7.2.11,Dams (size unknown),1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73972049,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73972049,4.1,Roads & railroads,1.2,Ecosystem degradation,
73972049,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
73972049,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,
73972049,8.1.2,Named species,2.1,Species mortality,Unknown
73972645,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
73972645,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
73972645,8.1.2,Named species,2.1,Species mortality,Unknown
73972645,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
73972645,11.5,Other impacts,2.2|2.3.7,Species disturbance|Reduced reproductive success,
73972645,11.1,Habitat shifting & alteration,1.2,Ecosystem degradation,
191004,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,
191004,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,
191004,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
191004,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
189814,8.1.2,Named species,2.1,Species mortality,
189814,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
189814,7.1.1,Increase in fire frequency/intensity,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
87739329,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
87739247,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
87739247,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
87739247,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
87739247,4.1,Roads & railroads,1.2|2.1,Ecosystem degradation|Species mortality,
87739247,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
87739247,8.2.2,Named species,2.1,Species mortality,Unknown
112690948,6.1,Recreational activities,2.2,Species disturbance,Unknown
112690948,8.1.2,Named species,2.1,Species mortality,Unknown
112690948,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2,Ecosystem degradation,
112690948,3.3,Renewable energy,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
112691330,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
112691330,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
112691330,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
112691330,8.1.2,Named species,2.1,Species mortality,Unknown
112691501,9.4,Garbage & solid waste,1.2,Ecosystem degradation,
112691501,8.1.2,Named species,2.1,Species mortality,Unknown
112691501,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
112691501,6.1,Recreational activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,
112691545,6.3,Work & other activities,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
112691545,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
112691545,8.1.2,Named species,2.1,Species mortality,Unknown
112691545,11.1,Habitat shifting & alteration,2.1|2.2,Species mortality|Species disturbance,
112691545,9.4,Garbage & solid waste,1.2,Ecosystem degradation,Unknown
112691545,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,Unknown
112691545,1.3,Tourism & recreation areas,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,Unknown
36652,1.1,Housing & urban areas,,,Causing/Could cause fluctuations
36652,5.3.1,Intentional use: (subsistence/small scale) [harvest],,,Causing/Could cause fluctuations
36652,8.2,Problematic native species/diseases,,,"Slow, Significant Declines"
31199,7.2.10,Large dams,,,Rapid Declines
31199,7.2.9,Small dams,,,Rapid Declines
31199,11.4,Storms & flooding,2.1|2.2,Species mortality|Species disturbance,Rapid Declines
38821,7.2.10,Large dams,,,"Slow, Significant Declines"
38821,2.2.2,Agro-industry plantations,,,Rapid Declines
38821,8.2.1,Unspecified species,,,
31170,7.2.10,Large dams,,,Very Rapid Declines
31170,2.1.3,Agro-industry farming,,,"Slow, Significant Declines"
31170,5.3.1,Intentional use: (subsistence/small scale) [harvest],,,Causing/Could cause fluctuations
31170,5.3.2,Intentional use: (large scale) [harvest],,,Very Rapid Declines
119243084,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
119243084,8.1.2,Named species,2.1,Species mortality,Unknown
119243084,7.3,Other ecosystem modifications,2.2,Species disturbance,
119243084,11.2,Droughts,2.1|2.2,Species mortality|Species disturbance,
119243159,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,
119243159,6.3,Work & other activities,2.1,Species mortality,
119243159,8.1.2,Named species,2.1,Species mortality,Unknown
119243159,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
119243159,5.2.2,Unintentional effects (species is not the target),1.2|2.2,Ecosystem degradation|Species disturbance,
119243159,11.2,Droughts,1.2,Ecosystem degradation,
119243173,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,Unknown
119243173,8.1.2,Named species,2.1,Species mortality,Unknown
119243173,7.3,Other ecosystem modifications,2.2,Species disturbance,
119243173,11.5,Other impacts,2.3.7,Reduced reproductive success,
119243173,4.1,Roads & railroads,2.1,Species mortality,
31220,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
31220,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,
31220,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
31220,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,
33497,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
33497,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
33497,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,
33497,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
62565,2.1.3,Agro-industry farming,,,
62565,2.1.2,Small-holder farming,,,
62565,2.2.2,Agro-industry plantations,,,
62565,2.2.1,Small-holder plantations,,,
144052276,2.1.3,Agro-industry farming,,,
144052276,2.1.2,Small-holder farming,,,
144052276,2.2.2,Agro-industry plantations,,,
144052276,2.2.1,Small-holder plantations,,,
144053300,11.4,Storms & flooding,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,Unknown
144053300,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,Unknown
144056383,2.1.3,Agro-industry farming,,,
144056383,2.1.2,Small-holder farming,,,
144056383,2.2.2,Agro-industry plantations,,,
144056383,2.2.1,Small-holder plantations,,,
145290519,2.1.3,Agro-industry farming,,,
145290519,2.1.2,Small-holder farming,,,
145290519,2.2.2,Agro-industry plantations,,,
145290519,2.2.1,Small-holder plantations,,,
145290519,3.2,Mining & quarrying,,,
145301615,2.1.3,Agro-industry farming,,,
145301615,2.1.2,Small-holder farming,,,
145301615,2.2.2,Agro-industry plantations,,,
145301615,2.2.1,Small-holder plantations,,,
145301728,2.1.3,Agro-industry farming,,,
145301728,2.1.2,Small-holder farming,,,
145301728,2.2.2,Agro-industry plantations,,,
145301728,2.2.1,Small-holder plantations,,,
145301965,2.1.3,Agro-industry farming,,,
145301965,2.1.2,Small-holder farming,,,
145301965,2.2.2,Agro-industry plantations,,,
145301965,2.2.1,Small-holder plantations,,,
145310645,2.1.3,Agro-industry farming,,,
145310645,2.1.2,Small-holder farming,,,
145310645,2.2.2,Agro-industry plantations,,,
145310645,2.2.1,Small-holder plantations,,,
145311979,2.1.3,Agro-industry farming,,,
145311979,2.1.2,Small-holder farming,,,
145311979,2.2.2,Agro-industry plantations,,,
145311979,2.2.1,Small-holder plantations,,,
145344026,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],,,
145344026,2.1.1,Shifting agriculture,,,
145404323,2.1.3,Agro-industry farming,,,
145404323,2.1.2,Small-holder farming,,,
145404323,2.2.2,Agro-industry plantations,,,
145404323,2.2.1,Small-holder plantations,,,
37611,8.2.1,Unspecified species,,,
37611,11.4,Storms & flooding,,,
149680126,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
149680126,11.2,Droughts,1.2,Ecosystem degradation,
149680126,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
149680126,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
149680126,7.2.3,Abstraction of surface water (agricultural use),1.2,Ecosystem degradation,
149680126,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
149680126,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,
149680126,8.1.2,Named species,2.1,Species mortality,
149682598,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.2|1.3|2.2,Ecosystem degradation|Indirect ecosystem effects|Species disturbance,Unknown
149682598,6.3,Work & other activities,1.2|1.3|2.2,Ecosystem degradation|Indirect ecosystem effects|Species disturbance,Unknown
149682598,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
149682598,5.1.2,Unintentional effects (species is not the target),1.2,Ecosystem degradation,Unknown
149682598,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
31200,2.2.2,Agro-industry plantations,,,Rapid Declines
31200,7.1.1,Increase in fire frequency/intensity,,,Rapid Declines
32866,7.2.10,Large dams,,,"Slow, Significant Declines"
32866,2.2.2,Agro-industry plantations,,,"Slow, Significant Declines"
32866,2.1.4,Scale Unknown/Unrecorded,,,"Slow, Significant Declines"
32866,11.4,Storms & flooding,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,Very Rapid Declines
150087536,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,Unknown
150087536,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087536,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087536,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,Unknown
150087536,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087536,7.2.10,Large dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087536,5.1.1,Intentional use (species is the target),2.1,Species mortality,Unknown
150087536,11.2,Droughts,1.2,Ecosystem degradation,
150087536,11.1,Habitat shifting & alteration,1.2|2.2,Ecosystem degradation|Species disturbance,
150087712,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,Unknown
150087712,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087712,5.1.1,Intentional use (species is the target),2.1,Species mortality,Unknown
150087712,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087712,7.2.10,Large dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087712,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087877,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,Unknown
150087877,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087877,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087877,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087897,9.1.3,Type Unknown/Unrecorded,1.1,Ecosystem conversion,Unknown
150087897,7.2.10,Large dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown
150087897,2.1.1,Shifting agriculture,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,Unknown
150087897,5.1.1,Intentional use (species is the target),2.1,Species mortality,Unknown
